,flight_id,iop,iop_date_local,nominal_altitude,sensor_aspirated,sensor_unaspirated,aspirated_start_time_utc,aspirated_end_time_utc,unaspirated_start_time_utc,unaspirated_end_time_utc,aspirated_stack_duration,unaspirated_stack_duration
219,80,23,6/10/23 0:00,350,X10,X06,6/11/23 1:12,6/11/23 1:28,6/11/23 1:12,6/11/23 1:28,16.216666666666665,16.216666666666665
220,81,23,6/10/23 0:00,350,X10,X06,6/11/23 1:38,6/11/23 1:52,6/11/23 1:38,6/11/23 1:52,14.083333333333334,14.083333333333334
221,75,23,6/10/23 0:00,120,X09,X01,6/10/23 18:14,6/10/23 18:27,6/10/23 18:14,6/10/23 18:27,13.083333333333334,17.466666666666665
222,76,23,6/10/23 0:00,120,X09,X01,6/10/23 20:32,6/10/23 20:46,6/10/23 20:32,6/10/23 20:46,14.383333333333333,14.15
223,77,23,6/10/23 0:00,120,X09,X01,6/10/23 21:09,6/10/23 21:17,6/10/23 21:12,6/10/23 21:17,7.616666666666666,4.833333333333333
224,78,23,6/10/23 0:00,120,X09,X01,6/10/23 23:14,6/10/23 23:27,6/10/23 23:14,6/10/23 23:25,12.833333333333334,10.533333333333333
225,79,23,6/10/23 0:00,120,X09,X01,6/10/23 23:41,6/10/23 23:54,6/10/23 23:45,6/10/23 23:50,12.983333333333333,4.616666666666666
226,80,23,6/10/23 0:00,120,X09,X01,6/11/23 1:18,6/11/23 1:28,6/11/23 1:16,6/11/23 1:26,9.783333333333333,10.266666666666667
227,81,23,6/10/23 0:00,120,X09,X01,6/11/23 1:38,6/11/23 1:43,6/11/23 1:38,6/11/23 1:53,5.183333333333334,14.433333333333334
228,82,24,6/12/23 0:00,235,X10,,6/12/23 18:32,6/12/23 18:33,,,0.8833333333333333,
229,83,24,6/12/23 0:00,235,X10,,6/12/23 22:25,6/12/23 22:31,,,6.2,
230,84,24,6/12/23 0:00,235,X10,,6/12/23 23:42,6/12/23 23:49,,,7.233333333333333,
